question,answer_text
Meals served,rooms
inferred passage,local government deal problem lacking money means
author called Tommy parents order,help realize influence Tommy
inferred passage,writer willing use idioms
deal snake wounds according passage,Stay calm move
writer problem studied boarding school first,missed family much
killed February small town near Johannesburg,Chen Jianqing one partners
According writer following statements true,Soccer popular world truly great players
fire children often,panic
title passage,Five children died kindergarten bus accident
feel unhappy,fight classmates
effect Revolution,king tried control national parliament
infer passage,Wang Jinbi wants transform hukou back wants make living hometown
following statements TRUE according passage,Poverty family problems contribute child begging
According author following statements TRUE,Fighting back tears may health problems
According survey,choosing food related Asian American situation
purpose Connected Future,make America get ahead digital learning
writer first meet Frank,air raid shelter war
deal mail get following EXCEPT,downloading every mail reply
One reason many colleges adopt website,encourage students seek advice depression
purpose author writing passage,give advice keep brain healthy
following statements WRONG according passage,Oceans world polluted oil
writer attitude towards digital footprint,use names online
scientists deal high temperatures,observing phenomenon closely
people come Loomis Eggplant Festival,enjoy food eggplants
According researchers parents praise children much children,always look praise
following true traditional marriage,woman made decisions
According passage learn,winning honor caused Lesley worry
following TRUE according passage,Dad thought one outsider cut flowers stems
Murbach take job seriously,wants everyone happy choice
People North West greet saying,reeit
According survey many Chinese people surveyed feel old,years old
Cotton kick ball goalmouth,far away
infer Ana purpose writing Liz,seek advice make boss know wants position
passage learn author,quite free know befriend old people childhood
learn writer opinion,taking notes important tests
one birthday blowing candles,make wish
passage know,people world realize urgency task
back home writer worried,Whether Katerina adapt school life
first young man refused clean shoes,think necessary
saying Remember stop smell roses author intends,find beauty life
following WRONG,trains carry people
following true British students,like tell scores
Ted live,lives big city
best title text,Jobs Stage Introduce iPad
According Lao Lang know,folk song always story belongs popular music
concluded results studies 2009 2014,solid evidence inadequate prove colors affect
conclude passage,cloning makes possible preserve endangered species
According John Barrett key attracting YOU families broadband service,applying Internet entertainment
author could practice driving mother,mother made nervous
child grown may take child things,Children Home Children Hospice
might best title passage,Walk Day Keeps Doctors away
sound system law enforcement necessary,poorly enforced laws crime violence
man,boy girl
way Google machine translation different previous ones,International official papers programmed major sources
According passage going business sale find,cheated owner
passage tells,New York first city world electric lights
author returned car car sick pills,kids needed windiest trip ahead
selection know cats,take naps add regular sleep
best title passage,Time Protect Chinese Language
conclusion drawn reading passage,father actually kind son
would best title passage ks5u,Old people life China
passage know author,almost fined police
following true Westlake College,old college America
Miss Gogers raised question wanted know whether,students grasped lesson
Sesame Street Workshop fun others,great sound effects animation
park suitable child disabilities,Challenge Grove Park
main topic text,origin development standard English used nowadays
best title passage,taking nap day
conclude passage,noise serious problem
passage mainly talks,history early flight attendants
article,importance play
mainly talked passage,Yan 2012 Nobel Prize Literature
Lacobelli elected president Ugly Club every year,members trust admiration
problem Microsoft,Lots users refuse switch Windows
follwing explanations two sinkings accepted psychologists,Human survival significant individuals
Ronald Hoffman awarded 1981 Nobel Prize chemistry,succeeded applying computer science chemistry research
following statements true except,higher education industry stands among top five export earners England
author like Cowboy much spite ugliness,sad lonely needed companion
purpose passage,explain people act emergencies
think clever story,Jane
According author,traditional yearbook
Ruth Mckenney started newspaper work,university student
Harriet called Moses like Moses Bible,devoted life helping slaves escape
following competition TRUE,winner must build best machine
One important difference infotainment ordinary news program,use actors play role
